Medical Record Number,Suffix,First Name,Middle Name,Last Name,Date of Birth,Social Security Number,Gender,Marital Status,Created Date,Coding Date,Billing Date,Claims Date,Charge Capture Date
270336,Ms,Jean,L,Lawson,2010-10-11,075-02-4592,Female,Separated,,2019-04-07,2019-04-08,2019-04-10,2019-04-11
196859,Dr,Harold,U,Griffin,1973-02-14,914-47-1362,Male,Married,Completed,2019-04-06,2019-04-07,2019-04-08,2019-04-10
563222,Mr,Jeremy,N,Hicks,2003-02-01,137-69-4368,Male,Single,2019-04-06,2019-04-07,,,2019-04-13
842919,Dr,Megan,M,Silva,2008-03-20,534-53-1132,Female,Separated,,,2019-04-09,2019-04-11,
698676,Ms,Brittany,V,Medina,2008-10-10,827-15-7842,Female,Widowed,2019-04-04,2019-04-04,2019-04-06,2019-04-13,2019-04-13
092875,Mr,Albert,B,Richardson,2007-11-09,227-33-7453,Male,Separated,2019-04-05,2019-04-07,2019-04-07,2019-04-11,
716759,Mr,Christopher,G,Sanders,2001-01-03,505-23-8921,Male,Separated,2019-04-05,,,,2019-04-12
882646,Ms,Diane,V,Pena,1997-12-26,994-79-9947,Female,Domestic,Not Completed,,2019-04-09,2019-04-10,2019-04-13
748128,Mr,Gregory,I,Perez,2005-07-20,592-63-7783,Male,Married,2019-04-08,2019-04-08,2019-04-11,2019-04-13,2019-04-13
014397,Ms,Janice,H,Fields,2011-09-29,459-65-2525,Female,Separated,,,,,2019-04-08
623221,Mrs,Lisa,J,Wagner,2013-03-29,670-07-5879,Female,Married,2019-04-05,2019-04-11,2019-04-11,2019-04-12,
342755,Mr,Phillip,F,Bell,1985-03-16,627-29-8613,Male,Separated,2019-04-06,,2019-04-11,2019-04-12,2019-04-12
066554,Mr,Christopher,D,Henry,1974-08-29,678-92-8969,Male,Divorced,,2019-04-07,2019-04-08,2019-04-11,2019-04-12
892784,Ms,Janice,A,Vargas,1991-01-09,609-31-6082,Female,Single,2019-04-04,,2019-04-06,,
187170,Ms,Brenda,M,Newman,2009-08-13,326-00-2976,Female,Widowed,2019-04-05,,,2019-04-11,2019-04-12
923005,Mrs,Maria,B,Castillo,2001-01-28,728-99-3016,Female,Married,Completed,Completed,2019-04-05,2019-04-06,2019-04-11
767205,Dr,Charles,R,Beck,2018-10-31,079-81-5743,Male,Widowed,,2019-04-08,2019-04-10,2019-04-12,2019-04-13
498523,Dr,Frances,H,Jordan,1981-04-18,135-07-1654,Female,Separated,Not Completed,2019-04-07,2019-04-09,2019-04-11,2019-04-13
211363,Dr,Dylan,O,Medina,2001-06-12,664-61-7924,Male,Divorced,Completed,,,,
234928,Mr,George,O,Contreras,2014-02-18,806-48-2024,Male,Single,,,2019-04-08,,
867588,Mr,Alan,D,Rodriguez,1994-01-21,900-31-0128,Male,Divorced,2019-04-07,,2019-04-09,2019-04-10,2019-04-13
707309,Ms,Crystal,D,Long,1998-02-28,899-16-6943,Female,Divorced,,,2019-04-09,,2019-04-13
881927,Ms,Mildred,F,Black,1973-07-05,300-76-4766,Female,Single,2019-04-04,2019-04-05,2019-04-10,2019-04-11,2019-04-13
166146,Dr,Sean,Q,Riley,1991-11-28,566-11-8028,Male,Divorced,Completed,2019-04-05,,,
372140,Mrs,Mildred,L,Carter,2015-11-08,229-69-0785,Female,Married,Not Completed,Not Completed,2019-04-05,2019-04-06,
018332,Ms,Virginia,Z,Barnett,1990-11-05,518-26-0718,Female,Domestic,Completed,2019-04-11,2019-04-11,2019-04-12,2019-04-12
222536,Mr,Terry,U,Aguilar,2016-09-30,107-24-3096,Male,Separated,2019-04-07,2019-04-09,,2019-04-11,
980703,Mrs,Christine,P,Estrada,1989-02-21,326-90-8470,Female,Married,2019-04-07,,2019-04-08,2019-04-11,
889798,Ms,Jennifer,P,Murphy,1995-02-13,178-07-1559,Female,Widowed,,2019-04-04,,,2019-04-13
576516,Dr,Frank,C,Castro,1991-01-10,869-98-4747,Male,Divorced,2019-04-05,2019-04-08,2019-04-08,2019-04-12,2019-04-12
042976,Dr,Tiffany,S,Keller,2016-11-22,908-99-1748,Female,Widowed,2019-04-06,2019-04-08,2019-04-08,2019-04-13,
090989,Dr,Donald,Q,Bailey,1981-03-18,684-05-3117,Male,Domestic,2019-04-05,,2019-04-10,2019-04-13,
298425,Ms,Sara,O,Howard,2015-08-17,625-26-4867,Female,Single,2019-04-04,2019-04-04,2019-04-06,2019-04-07,2019-04-09
160925,Dr,John,B,Oliver,1991-01-17,948-30-2736,Male,Divorced,,Completed,2019-04-08,,
187240,Dr,Matthew,G,Murphy,1997-01-30,030-57-1744,Male,Widowed,2019-04-06,2019-04-07,2019-04-08,,
350087,Dr,James,L,Pena,1978-04-30,452-04-8575,Male,Divorced,,2019-04-05,2019-04-09,2019-04-12,2019-04-12
368370,Mr,Donald,T,Barrett,1981-02-06,698-56-6780,Male,Widowed,,2019-04-07,2019-04-07,2019-04-13,2019-04-13
243503,Ms,Susan,B,Burton,2002-03-02,279-42-0564,Female,Single,2019-04-05,2019-04-07,2019-04-11,,
255730,Mrs,Janet,A,Watkins,1986-02-15,623-03-3298,Female,Married,,,2019-04-07,,2019-04-13
725883,Dr,Jane,R,Hunter,1970-12-19,127-81-8996,Female,Single,2019-04-07,,2019-04-09,,2019-04-11
693124,Dr,Pamela,Q,Rogers,1983-09-29,197-93-0680,Female,Divorced,2019-04-08,2019-04-09,2019-04-09,2019-04-10,2019-04-13
044123,Dr,Adam,F,Wong,1985-05-22,533-50-5841,Male,Divorced,,2019-04-04,,2019-04-08,2019-04-10
567283,Dr,Paul,X,Kelly,1977-02-08,778-42-3695,Male,Separated,2019-04-06,2019-04-08,2019-04-12,2019-04-13,2019-04-13
168833,Ms,Brittany,R,Hernandez,1975-02-08,976-55-0586,Female,Divorced,,,,2019-04-12,
322465,Ms,Teresa,Y,Wood,1996-01-03,400-34-1109,Female,Separated,2019-04-05,2019-04-07,2019-04-08,2019-04-12,2019-04-13
955331,Ms,Martha,L,Montgomery,1994-07-04,101-15-0267,Female,Widowed,2019-04-07,2019-04-08,,2019-04-09,
928995,Dr,Beverly,T,Ortega,1997-08-14,079-10-5508,Female,Single,,2019-04-09,,,2019-04-11
189860,Dr,Judith,H,Olson,2000-11-11,031-85-5884,Female,Separated,,2019-04-05,2019-04-09,2019-04-11,
012014,Mr,Alexander,U,Stewart,1990-04-22,938-21-5158,Male,Domestic,,,2019-04-06,,2019-04-12
639564,Dr,Keith,X,Hicks,2010-04-17,786-81-1347,Male,Single,,2019-04-04,,,2019-04-13
694355,Dr,Teresa,T,Cunningham,1980-03-29,147-25-6627,Female,Married,2019-04-04,2019-04-06,2019-04-08,2019-04-11,2019-04-11
663840,Mrs,Brittany,M,Sandoval,1985-09-30,673-55-0582,Female,Married,2019-04-10,2019-04-11,2019-04-13,,2019-04-13
519900,Mr,Michael,O,Morris,2011-05-17,002-57-5526,Male,Divorced,2019-04-05,2019-04-06,2019-04-08,2019-04-11,2019-04-11
664332,Mr,Dennis,K,Cook,1990-02-03,650-03-3921,Male,Domestic,2019-04-10,2019-04-10,2019-04-11,,2019-04-13
934833,Ms,Carol,R,Webb,1988-12-07,374-56-6893,Female,Widowed,,,,,2019-04-11
528199,Dr,Adam,A,Harrison,1975-07-27,000-80-2865,Male,Single,,,2019-04-09,2019-04-11,2019-04-12
417951,Mrs,Stephanie,O,Marshall,1979-11-14,092-61-8105,Female,Married,,2019-04-04,,2019-04-09,2019-04-11
472376,Dr,Joe,I,Obrien,1975-04-22,411-91-1667,Male,Married,Completed,2019-04-05,2019-04-06,2019-04-07,
895608,Mrs,Mary,P,Bennett,2009-12-18,286-12-2285,Female,Married,,2019-04-08,2019-04-13,2019-04-13,2019-04-13
275016,Ms,Martha,K,Carter,1973-04-24,499-58-9813,Female,Separated,,2019-04-09,2019-04-11,2019-04-12,2019-04-13
158565,Ms,Deborah,Y,Ross,1992-03-29,795-84-9108,Female,Domestic,2019-04-04,2019-04-04,2019-04-07,2019-04-10,
590337,Dr,Eugene,L,Contreras,2012-06-03,698-64-4189,Male,Divorced,,2019-04-05,2019-04-05,,
151686,Mrs,Joan,L,Hansen,2012-01-28,334-51-7761,Female,Married,,2019-04-05,2019-04-07,2019-04-10,
123858,Dr,Edward,Z,Butler,2013-04-09,093-41-8535,Male,Divorced,2019-04-05,2019-04-06,2019-04-07,2019-04-13,2019-04-13
936228,Ms,Samantha,U,Cunningham,1976-09-23,306-53-0214,Female,Domestic,Completed,2019-04-04,,2019-04-08,
101084,Ms,Jane,G,Walker,1996-04-04,308-01-7588,Female,Domestic,2019-04-05,2019-04-07,2019-04-08,,2019-04-11
756168,Mr,Mark,G,Rice,1979-07-22,568-54-9323,Male,Domestic,,2019-04-06,2019-04-07,2019-04-07,
846603,Mr,Kenneth,U,Morgan,2011-08-12,087-46-4261,Male,Married,2019-04-04,,,,2019-04-13
850787,Mrs,Debra,F,Rogers,2013-05-24,953-14-2524,Female,Married,Completed,,2019-04-07,,2019-04-13
128213,Mr,Paul,X,Pena,1991-08-28,623-50-8962,Male,Widowed,Completed,2019-04-06,2019-04-08,2019-04-09,2019-04-11
067802,Ms,Tammy,R,Hicks,2012-10-08,975-37-2035,Female,Domestic,Completed,2019-04-04,2019-04-08,2019-04-09,2019-04-12
151589,Mr,Stephen,E,Welch,2015-08-05,175-51-6676,Male,Married,2019-04-05,2019-04-08,2019-04-12,2019-04-13,2019-04-13
112963,Mr,Arthur,I,Henry,1994-02-02,846-70-0859,Male,Single,2019-04-05,2019-04-07,2019-04-09,2019-04-09,2019-04-12
732941,Mr,Jerry,A,Wood,2018-03-16,403-85-6161,Male,Domestic,2019-04-04,2019-04-06,2019-04-06,,2019-04-12
699286,Ms,Virginia,L,Fisher,2005-10-29,071-91-6584,Female,Separated,2019-04-04,,2019-04-09,2019-04-10,2019-04-11
341352,Mr,Dylan,G,Moore,1982-12-24,380-49-6541,Male,Widowed,2019-04-07,2019-04-10,2019-04-11,2019-04-12,2019-04-13
874994,Mr,Zachary,F,Bryant,1985-10-14,064-14-2198,Male,Married,Not Completed,,2019-04-09,2019-04-12,2019-04-13
297985,Mrs,Patricia,F,Jacobs,2017-07-22,357-31-4438,Female,Married,2019-04-04,,2019-04-09,,2019-04-11
942715,Mrs,Anna,V,Simmons,1973-07-02,814-00-1040,Female,Married,,2019-04-05,2019-04-07,2019-04-10,2019-04-10
021087,Mr,Harold,I,Gardner,2002-03-20,029-38-0052,Male,Divorced,,,2019-04-06,2019-04-07,2019-04-13
233790,Mr,Douglas,C,Ramos,1995-01-16,004-01-5737,Male,Divorced,,2019-04-04,,2019-04-10,2019-04-10
750141,Dr,Lawrence,P,Mills,2011-02-02,318-09-9798,Male,Widowed,,2019-04-07,,,2019-04-12
090457,Dr,Eric,C,Murphy,2007-11-09,270-91-8311,Male,Married,,2019-04-05,,2019-04-08,2019-04-10
933138,Mr,Craig,V,Montgomery,2018-06-04,107-32-9219,Male,Married,2019-04-04,2019-04-05,,,
789717,Dr,Amy,M,Jackson,1993-10-10,309-65-9357,Female,Divorced,Not Completed,2019-04-08,2019-04-10,2019-04-11,2019-04-12
100017,Dr,Steven,Y,Banks,1977-02-25,490-26-2723,Male,Domestic,2019-04-05,,2019-04-07,2019-04-09,
640531,Dr,Aaron,S,Parker,2006-12-21,585-71-2944,Male,Separated,2019-04-04,2019-04-06,2019-04-09,2019-04-10,2019-04-10
069626,Ms,Julia,Y,Weber,1987-07-31,970-59-4414,Female,Separated,,,,,2019-04-13
333399,Ms,Donna,K,Weaver,2002-01-25,592-00-5348,Female,Widowed,,2019-04-04,2019-04-05,2019-04-08,
133700,Mr,Michael,Z,Nichols,1975-03-09,292-59-5012,Male,Separated,2019-04-07,,2019-04-08,,2019-04-13
454135,Dr,Jeremy,Q,Burton,2019-02-21,584-14-0081,Male,Widowed,2019-04-07,2019-04-08,2019-04-09,2019-04-11,2019-04-12
175420,Mr,Bryan,S,Walters,2011-03-23,032-75-6736,Male,Domestic,,,2019-04-09,,2019-04-13
513284,Mr,Kyle,X,Castillo,2007-10-09,396-85-6689,Male,Domestic,,,,,2019-04-11
981873,Ms,Tammy,N,Pena,2005-09-17,196-58-5462,Female,Domestic,Not Completed,Completed,2019-04-04,2019-04-12,
952821,Mr,Brandon,Y,Williams,1992-01-04,431-31-7352,Male,Divorced,Not Completed,2019-04-04,,2019-04-09,2019-04-11
783430,Mr,Jeremy,D,Little,2012-03-03,158-64-2606,Male,Married,Completed,2019-04-05,2019-04-05,,2019-04-11
325662,Dr,Zachary,T,Matthews,1973-01-17,593-18-7589,Male,Widowed,,2019-04-10,2019-04-10,2019-04-12,2019-04-13
191065,Mr,Jordan,R,Allen,1979-02-18,234-81-8237,Male,Domestic,,2019-04-10,2019-04-10,,2019-04-12
544568,Dr,Betty,K,Russell,2007-03-28,207-88-8379,Female,Married,2019-04-06,2019-04-06,2019-04-07,2019-04-12,
013303,Mr,Stephen,W,Reid,1989-09-27,018-26-7452,Male,Married,Completed,2019-04-07,2019-04-08,,2019-04-11
844726,Mr,Kevin,N,Lawrence,1987-05-16,067-68-1978,Male,Widowed,Completed,,2019-04-07,,
022257,Mr,Ethan,M,Payne,1996-08-20,842-67-8858,Male,Single,2019-04-04,,2019-04-08,2019-04-12,2019-04-12
003341,Dr,Shirley,P,Stewart,1992-01-13,956-77-6717,Female,Domestic,2019-04-09,2019-04-10,2019-04-11,2019-04-11,2019-04-12
361927,Dr,Theresa,S,Edwards,2005-12-29,684-71-4191,Female,Widowed,Completed,2019-04-04,2019-04-07,2019-04-07,2019-04-08
897636,Mr,Tyler,N,Gonzalez,1992-01-07,849-97-6565,Male,Single,Completed,2019-04-05,2019-04-07,2019-04-08,2019-04-10
253291,Dr,Jordan,Q,Lawson,1979-07-22,432-48-5897,Male,Divorced,,,2019-04-11,2019-04-11,2019-04-13
275292,Mrs,Amber,A,Webb,1985-10-18,161-29-5080,Female,Married,,,2019-04-08,2019-04-09,
202691,Dr,Michael,I,Rice,2007-01-01,559-38-2063,Male,Widowed,,2019-04-07,,2019-04-10,
815281,Ms,Joyce,T,Morris,1998-10-19,189-51-5075,Female,Widowed,2019-04-05,2019-04-09,2019-04-09,,2019-04-13
150486,Dr,Zachary,M,Bell,1998-05-30,661-05-2348,Male,Domestic,Not Completed,2019-04-09,2019-04-10,2019-04-10,2019-04-10
585026,Dr,Ethan,U,Pearson,1993-03-02,602-25-6061,Male,Domestic,,,,2019-04-06,2019-04-08
098601,Ms,Kimberly,G,Ward,2001-11-01,042-93-5611,Female,Widowed,,2019-04-05,2019-04-06,2019-04-07,
928394,Mr,David,O,Burke,1980-05-12,400-04-4795,Male,Widowed,Completed,2019-04-06,2019-04-09,2019-04-10,2019-04-13
388025,Mr,Dylan,B,Walker,1996-10-07,341-98-2445,Male,Married,,,,2019-04-10,2019-04-11
575926,Dr,Doris,B,Riley,2009-09-25,191-33-1593,Female,Divorced,,2019-04-05,2019-04-10,2019-04-10,
226834,Mrs,Martha,W,Bell,2015-03-02,051-33-4837,Female,Married,,2019-04-04,2019-04-04,,2019-04-13
124746,Ms,Kathryn,J,Tucker,1991-04-21,014-29-7374,Female,Separated,Completed,2019-04-07,,,2019-04-13
782358,Ms,Hannah,J,Adams,2016-02-26,139-06-1422,Female,Divorced,2019-04-06,,,2019-04-11,2019-04-12
122908,Mrs,Lisa,H,Herrera,1986-06-08,835-63-1428,Female,Married,2019-04-05,2019-04-06,2019-04-08,2019-04-08,2019-04-10
035570,Ms,Kathy,R,Powell,2009-08-30,890-13-1473,Female,Separated,,2019-04-06,2019-04-07,2019-04-08,2019-04-13
687009,Mr,John,T,Mason,1986-05-19,139-62-8390,Male,Single,2019-04-04,2019-04-05,,2019-04-07,
542691,Mr,Ronald,V,Berry,1988-04-04,347-12-9878,Male,Widowed,Not Completed,2019-04-04,2019-04-05,2019-04-11,2019-04-13
715021,Dr,Frances,Z,Herrera,1978-03-16,473-06-1952,Female,Separated,,,,,2019-04-12
808728,Dr,Larry,D,Duncan,1970-05-26,661-72-0704,Male,Married,2019-04-04,,2019-04-06,,2019-04-11
749465,Mrs,Kimberly,Q,Williamson,1981-04-19,563-16-5437,Female,Married,Completed,2019-04-07,2019-04-08,2019-04-10,2019-04-13
212190,Dr,Amy,B,Shaw,2012-09-17,231-69-7256,Female,Married,,2019-04-07,2019-04-08,2019-04-09,2019-04-11
096908,Mr,Jordan,U,Beck,2017-02-01,797-71-6836,Male,Divorced,,2019-04-05,,,2019-04-13
087365,Mr,Howard,U,Freeman,1999-04-13,629-04-9588,Male,Domestic,2019-04-04,2019-04-04,,,2019-04-13
964948,Ms,Jean,J,Bennett,1971-08-04,965-65-6962,Female,Separated,,2019-04-08,2019-04-08,,
581346,Mrs,Judith,R,Henry,1988-02-25,437-40-2300,Female,Married,Completed,Completed,,2019-04-04,2019-04-09
061612,Mr,Terry,N,Ruiz,2010-05-06,348-04-4350,Male,Separated,2019-04-08,,,2019-04-12,
100178,Dr,Karen,K,Hall,2013-10-23,142-25-5708,Female,Divorced,2019-04-05,2019-04-08,2019-04-10,,2019-04-13
275768,Mr,Phillip,K,Stewart,1992-03-17,877-10-5268,Male,Domestic,Completed,,,2019-04-11,
992149,Dr,Austin,J,Cruz,1986-12-09,462-13-5834,Male,Separated,,,2019-04-09,2019-04-10,
696228,Dr,Virginia,S,Bradley,2009-04-03,118-08-0860,Female,Widowed,,2019-04-05,,2019-04-11,2019-04-12
319186,Dr,Douglas,W,Castro,2009-10-03,414-07-2599,Male,Married,Completed,,2019-04-04,2019-04-10,
007175,Mr,Phillip,C,Cole,2016-11-12,480-06-0808,Male,Single,2019-04-04,,,2019-04-11,
195868,Mr,Richard,G,Rice,1986-03-03,840-98-1331,Male,Widowed,Completed,,2019-04-08,,
868812,Ms,Laura,P,Burton,1973-11-15,479-69-2574,Female,Separated,,,,2019-04-11,
169257,Mr,Adam,C,Turner,1985-03-18,071-28-5150,Male,Married,,2019-04-04,2019-04-07,2019-04-07,2019-04-12
911401,Mr,John,Y,Jimenez,1992-03-01,813-13-9746,Male,Single,2019-04-06,,,2019-04-11,2019-04-13
698930,Dr,Jacqueline,H,Brown,2001-09-15,220-95-7293,Female,Single,Completed,2019-04-05,2019-04-11,2019-04-12,
672062,Mrs,Kathryn,R,Gibson,1977-03-17,257-10-7988,Female,Married,Completed,2019-04-04,2019-04-11,2019-04-12,2019-04-13
013086,Mrs,Lauren,X,Wong,1987-05-27,694-61-7900,Female,Married,2019-04-05,2019-04-06,,2019-04-12,2019-04-13
061427,Mr,Austin,Q,Beck,2013-08-22,717-28-9096,Male,Widowed,Completed,Completed,2019-04-07,,2019-04-13
153364,Mrs,Jennifer,A,Ruiz,2015-06-20,645-21-4397,Female,Married,,2019-04-06,,2019-04-09,2019-04-13
556492,Mr,Matthew,B,Santos,1992-11-05,531-09-6677,Male,Divorced,Completed,2019-04-12,,,
446090,Mrs,Brittany,L,Thompson,1981-01-18,684-31-9054,Female,Married,Not Completed,Not Completed,2019-04-07,2019-04-07,2019-04-12
031428,Mr,Bobby,A,Estrada,1998-01-11,477-14-7437,Male,Widowed,2019-04-04,2019-04-08,2019-04-09,2019-04-11,2019-04-11
588796,Ms,Debra,I,Davis,1990-03-31,131-20-5643,Female,Domestic,2019-04-04,2019-04-08,2019-04-08,2019-04-09,2019-04-11
870250,Mr,Philip,Y,Payne,2003-02-22,474-26-4127,Male,Separated,2019-04-04,2019-04-06,2019-04-07,2019-04-10,
889807,Mrs,Elizabeth,Z,Gonzales,1980-06-16,837-90-1505,Female,Married,2019-04-04,2019-04-04,2019-04-06,,2019-04-07
432659,Dr,Keith,S,Lane,1982-08-12,587-39-5495,Male,Separated,2019-04-05,2019-04-06,2019-04-07,2019-04-09,2019-04-10
429395,Dr,Johnny,J,Olson,1972-05-26,172-08-7432,Male,Single,2019-04-04,,2019-04-08,,
634340,Dr,Harry,A,Schneider,1991-10-15,481-89-3607,Male,Separated,Not Completed,2019-04-05,,,
892460,Mrs,Crystal,O,Carlson,1977-02-26,917-16-8924,Female,Married,2019-04-05,2019-04-05,2019-04-06,2019-04-10,
846076,Dr,Sharon,Z,Kim,1998-04-16,601-50-0391,Female,Single,Completed,2019-04-05,,,2019-04-11
763237,Ms,Diana,N,Burton,2018-03-30,597-64-3164,Female,Single,Completed,2019-04-04,2019-04-06,,2019-04-13
325411,Mr,Jesse,S,Ramirez,2018-08-16,251-53-3728,Male,Single,2019-04-04,,,2019-04-10,2019-04-10
635452,Mr,Michael,K,Pierce,1988-11-25,557-95-4682,Male,Married,2019-04-04,,2019-04-08,2019-04-08,2019-04-08
006106,Mr,Jerry,R,Chapman,2013-01-04,062-27-7158,Male,Married,2019-04-04,,2019-04-05,,
752537,Mr,Walter,F,Thomas,1981-11-12,746-42-8413,Male,Single,2019-04-06,2019-04-08,2019-04-09,2019-04-12,
170258,Mr,Matthew,E,Fields,2011-04-02,592-05-4121,Male,Married,2019-04-04,2019-04-05,,2019-04-06,
817752,Mrs,Kathryn,P,Graham,1972-08-26,981-45-7673,Female,Married,2019-04-04,2019-04-08,,,
719201,Dr,Carol,T,Chavez,1996-09-18,125-57-4560,Female,Domestic,Completed,,2019-04-07,,
120994,Dr,Grace,B,Price,2005-01-24,318-82-1995,Female,Single,2019-04-06,,2019-04-09,2019-04-10,2019-04-13
213555,Mrs,Sandra,O,Hopkins,1976-11-22,032-35-5527,Female,Married,Not Completed,,2019-04-05,,2019-04-06
676041,Dr,Robert,P,Stewart,2018-05-06,800-56-0471,Male,Domestic,2019-04-07,2019-04-08,,2019-04-11,
256138,Ms,Pamela,I,Coleman,2001-06-01,082-25-2489,Female,Divorced,,,,2019-04-05,2019-04-11
369001,Dr,Timothy,G,Lane,2011-09-24,423-06-3107,Male,Widowed,Completed,2019-04-05,2019-04-09,2019-04-10,2019-04-12
917485,Mr,George,Q,Fernandez,1983-08-22,983-67-7813,Male,Separated,,2019-04-04,2019-04-04,,2019-04-09
818873,Ms,Janice,B,Davis,1993-11-27,819-33-1721,Female,Widowed,2019-04-05,,2019-04-08,,
063822,Mrs,Jessica,T,Soto,1990-09-05,595-65-2477,Female,Married,2019-04-04,,2019-04-10,,
251543,Ms,Judy,T,Burton,2008-10-21,749-09-8006,Female,Separated,Completed,,,2019-04-07,2019-04-11
435852,Dr,Harold,D,Thomas,1998-04-27,514-88-4156,Male,Divorced,2019-04-05,2019-04-08,2019-04-11,,
862047,Dr,Kimberly,T,Pena,1983-11-17,996-06-3736,Female,Single,2019-04-07,2019-04-08,,,
814669,Mrs,Gloria,K,Delgado,1992-06-02,990-46-4052,Female,Married,2019-04-04,,,,2019-04-12
